prn (keVnr) 	 qi (keVee) 
------------------
5.872391   3.047322
9.379797   5.917714
7.028135   4.386664
18.683291   11.821157
16.718239   10.165646
14.691445   9.140196
18.552812   11.011888
8.881047   5.432129
10.529446   6.166212
8.630858   3.635029
7.590370   4.109407
19.744259   13.800046
9.433381   6.615331
16.487673   9.970082
19.301082   12.299263
9.237685   5.067553
5.812911   3.488506
17.165787   10.485917
18.621767   11.380338
18.418959   11.326900
13.195227   5.366058
6.825037   4.294917
8.692433   5.151898
7.443097   4.859165
9.138206   6.331049
17.111723   11.161735
13.814132   8.329350
10.505965   5.291830
9.995624   4.906040
10.270994   5.616921
9.633949   6.520379
19.067277   12.232249
8.535300   6.052342
17.771942   10.256577
18.971575   12.075846
19.624383   11.534587
16.041617   10.977011
8.867164   5.381481
16.086488   10.215208
19.672731   11.924993
6.714173   3.971577
7.857735   0.032701
14.169696   9.321480
12.738552   7.774766
6.687687   4.074547
17.150224   11.666857
7.998526   4.089872
16.266561   9.626519
12.741092   7.711771
2.116909   0.248532
19.678336   12.239170
6.546897   4.427767
7.430179   4.185343
12.094081   7.149141
13.944901   8.265786
12.600034   7.983893
14.856499   10.196038
9.134797   5.862249
19.793832   12.398616
12.113528   7.203556
9.019711   5.792902
14.049773   9.097193
10.834160   7.097839
17.592122   11.835847
12.972436   8.821802
9.499430   5.658758
13.170586   7.124005
19.684799   12.197318
10.813396   6.331480
10.804159   6.885166
6.082015   4.023190
7.843823   5.246039
9.233725   5.364181
9.450879   6.038879
17.435897   11.364900
4.702436   2.800658
6.892872   4.106638
10.599306   5.522321
16.472186   10.711093
17.823925   11.811338
5.929469   2.942696
10.561520   6.333003
11.363781   6.562196
10.252515   5.623841
14.632382   8.116691
18.587902   9.016269
6.232870   4.062051
2.955477   2.117303
2.915434   1.454920
5.094441   3.360341
8.128801   5.819667
12.373136   9.818320
4.898980   2.993292
16.453768   9.074100
10.575115   6.134175
11.586804   6.806447
6.061049   3.516538
12.631699   7.898387
15.433863   9.572302
5.796659   3.704468
6.365830   4.244319
13.983629   9.058556
16.063767   9.866708
19.172948   12.541780
18.298322   10.712229
12.094812   7.396688
9.347500   5.539476
5.685458   3.666123
6.247410   3.786483
5.867537   3.881802
7.763566   4.798704
4.239755   3.402388
11.059929   7.016084
2.344521   1.153015
14.351728   9.739828
15.151197   9.987380
7.806365   4.809487
18.584316   12.680204
11.921238   7.728416
11.791578   6.856846
18.324912   12.523197
6.743491   4.433287
7.576834   4.421338
12.191334   7.268691
15.176640   8.248635
8.934700   6.093523
12.824160   7.504183
10.544609   3.924775
11.132442   6.198866
17.902827   11.069665
11.342322   7.901008
11.305678   7.488536
17.326705   10.453771
12.173897   7.503784
12.027883   6.840446
14.985907   9.190468
19.844940   14.026738
15.588734   9.163229
15.573765   9.743103
9.788647   6.137009
7.932686   4.337548
19.520064   12.061698
14.407077   8.317243
12.975443   8.074438
8.980600   5.462951
8.174658   4.980855
16.839614   10.942897
9.725441   5.541651
19.711532   13.033123
4.850000   2.870401
11.372739   6.720048
12.438747   7.555165
17.075105   10.768401
8.682300   5.558169
15.412489   9.966294
4.695688   3.290796
16.843493   10.017629
19.241242   11.891068
10.749345   5.933626
15.768011   9.136980
8.759139   5.852034
11.160457   6.356186
12.664324   8.565937
9.883374   6.597372
17.264470   10.739074
13.664309   8.075201
16.126554   9.784568
17.603313   11.127860
8.397781   5.075663
7.485596   4.367768
7.697132   5.969414
17.818740   11.737081
6.709238   3.750045
4.408116   2.610361
11.806016   7.077951
17.765938   10.695158
18.437625   11.822036
5.197579   3.391953
12.100490   7.664165
6.243337   3.752813
7.367363   4.988181
17.414333   11.072889
17.372283   11.019481
2.681944   2.098522
15.476649   10.727863
17.840678   11.295702
19.769382   11.737105
10.325879   5.820149
15.740638   9.225078
14.147654   9.788308
14.964408   9.724143
18.311279   12.558533
6.131824   5.013338
12.397826   7.019622
16.755186   11.019879
10.762452   6.089969
10.827701   7.530038
8.221178   4.425813
11.520042   6.312744
10.043821   6.700934
12.911591   7.808821
13.717335   7.796003
8.825802   5.188549
7.128008   4.968290
12.538275   7.276813
8.570520   5.278431
11.822584   8.002272
17.790294   12.618500
4.068143   2.580221
12.969512   8.433301
17.188755   10.498592
4.026416   2.772910
5.358830   3.792461
10.362833   6.776916
10.634683   6.346114
18.262189   11.080844
17.060724   10.539770
4.625506   2.411870
2.244421   1.359762
13.944024   8.033649
13.685249   7.697620
6.048316   3.199980
17.571000   10.602282
