prn (keVnr) 	 qi (keVee) 
------------------
3.604866   0.660767
19.394490   8.338522
10.387937   4.267084
7.879400   5.945889
7.435414   4.547838
15.900593   10.551060
7.833563   4.978351
4.559306   2.767595
10.887724   7.118921
8.857384   4.918116
2.173210   0.212815
14.674686   8.873966
19.968853   13.052958
14.264979   6.260004
16.857978   10.845073
17.457412   11.013415
17.003448   10.263008
15.267124   9.951783
2.227250   0.063793
17.706051   10.434957
14.639785   8.706255
2.090677   0.441948
16.990159   9.645417
2.531490   1.151391
17.512618   10.317316
17.442378   11.809459
16.630124   9.906612
19.199641   12.016692
16.865155   10.085877
12.376926   8.980352
3.839191   2.276343
15.384767   10.689446
14.622750   3.609903
5.170489   3.454334
16.420280   9.697368
17.489555   10.455266
6.908773   4.714537
8.467773   0.549274
2.339466   1.664726
2.861952   0.019339
6.794268   3.302265
4.373307   0.454448
13.751503   9.806624
18.259664   10.281639
10.305989   6.561291
14.762707   9.659245
5.229197   3.236768
3.140508   2.682300
19.650944   12.177526
2.340344   0.382043
16.406256   10.558914
2.678817   0.099556
4.574308   2.486678
2.179297   0.286532
10.486921   0.409015
17.144265   9.446212
9.896642   6.473212
17.950375   10.734647
18.800630   12.301263
6.397075   3.857207
3.209232   2.064571
8.165151   4.972375
7.257044   1.829282
15.409728   9.343675
9.642301   6.297549
2.701990   1.956828
19.965421   10.925915
13.894382   8.535295
4.656647   2.797780
6.571024   3.651915
3.445762   1.991355
19.616898   13.277419
15.875323   10.188377
3.556498   0.201624
17.360402   10.177818
8.749263   0.480239
3.008681   1.435974
7.760253   4.826835
12.611721   8.557576
3.394425   1.693263
8.438073   5.932227
16.795269   11.085325
2.925590   0.644772
12.887203   8.187037
16.641661   10.969303
4.533006   0.988093
17.059659   10.215487
11.922467   3.316278
3.106672   2.391301
17.266619   10.169455
2.373268   1.847029
17.060297   10.603749
8.176171   4.635405
16.551457   10.386738
17.237546   9.872901
16.735086   10.452353
3.542233   2.154763
5.757555   3.678160
5.181836   3.020131
12.221585   6.169718
13.210686   7.609114
6.776655   3.608305
2.041962   0.682560
17.911317   11.181588
4.438075   0.318800
6.291542   3.915988
14.741674   8.841708
4.318153   2.551914
11.735623   8.530008
17.495785   12.032749
16.572072   11.280850
2.614148   1.322110
5.303666   2.675076
11.362568   4.242060
4.709936   3.519016
8.590988   4.850870
10.174651   -0.074435
7.312183   4.292058
12.309918   7.043766
6.402818   3.383984
18.445972   13.340669
2.788741   1.320822
8.979529   5.701790
17.482396   10.705435
16.762800   10.377415
11.372723   8.046384
8.776181   5.365713
3.795854   1.906175
11.555690   6.710876
3.726623   2.255141
18.948069   13.839062
16.762310   10.018126
3.934844   2.136473
2.842164   0.682933
5.613534   2.813855
2.224412   1.146308
3.895867   2.243849
16.818872   10.891383
3.075237   1.352623
9.143763   1.278046
13.171053   8.396377
2.751967   0.126966
7.704155   4.833693
16.916649   10.328417
16.332002   10.328394
2.359530   1.590502
17.145361   10.901563
4.837067   3.462837
14.797399   7.929097
11.856638   7.173870
16.100714   10.270802
8.726452   5.630726
15.170066   10.228762
5.378952   2.804731
2.432770   1.320561
14.276263   10.703979
6.491227   3.941783
19.233883   13.066233
16.439807   11.513271
17.047340   10.716449
14.940520   10.674740
16.506183   10.495875
2.349268   1.491585
9.599526   6.374230
14.580607   8.804547
4.264330   0.353051
17.660374   10.827474
17.387300   9.742215
17.910014   10.260842
7.913902   4.678974
7.032673   4.011380
7.814777   2.684682
2.199000   0.448020
10.200184   6.635108
8.976871   5.027939
16.649314   6.248395
6.360879   3.436854
17.763908   12.645980
15.282691   10.052455
13.442314   8.522562
2.506637   1.467200
7.366042   4.223933
17.064565   10.210479
